post_name;poids;Région;Domaine;Appellation;Couleur;Cépage;Millésime;Garde;Contenance;Degré d'alcool;Température dégustation;Alliance mets
pierre-jean-villa-saint-joseph-preface-2018;1.5 kg;Rhône;Pierre Jean Villa;Saint Joseph;Rouge;100% Syrah;2020;4-7 ans;75cl;13%;15°C;Charcuterie, Lapin, Viande rouge, Volaille
pierre-jean-villa-saint-joseph-tilde-2017;1.5 kg;Rhône;Pierre Jean Villa;Saint Joseph;Rouge;100% Syrah;2019;6-8 ans;75cl;13%;15°C;Charcuterie, Viande rouge, Volaille
pierre-jean-villa-croze-hermitage-accroche-coeur-2018;1.5 kg;Rhône;Pierre Jean Villa;Crozes-Hermitage;Rouge;100% Syrah;2020;3-5 ans;75cl;13%;15°C;Viande rouge, Volaille
pierre-jean-villa-igp-gamine-2018;1.5 kg;Rhône;Pierre Jean Villa;Collines Rhodaniennes;Rouge;100% Syrah;2020;3-5 ans;75cl;13%;14°C;Charcuterie, Viande rouge, Volaille
pierre-jean-villa-cote-rotie-carmina-2017;1.5 kg;Rhône;Pierre Jean Villa;Côte Rôtie;Rouge;100% Syrah;2019;10-20 ans;75cl;13%;17°C;Gibier, Viande rouge
pierre-jean-villa-saint-joseph-saut-ange-2018;1.5 kg;Rhône;Pierre Jean Villa;Saint Joseph;Blanc;100% Roussanne;2020;6-8 ans;75cl;14%;12°C;Apéritif, Fromages, Poisson en sauce, Volaille
pierre-gaillard-condrieu-2018;1.5 kg;Rhône;Pierre Gaillard;Condrieu;Blanc;100% Viognier;2020;3-5 ans;75cl;13%;12°C;Apéritif, Crustacés, Cuisine Asiatique, Fromages, Volaille
pierre-gaillard-cornas-2017;1.5 kg;Rhône;Pierre Gaillard;Cornas;Rouge;100% Syrah;2019;6-8 ans;75cl;12,50%;16°C;Gibier, Viande rouge
pierre-gaillard-cote-rotie-esprit-blond-2017;1.5 kg;Rhône;Pierre Gaillard;Côte Rôtie;Rouge;100% Syrah;2018;10-20 ans;75cl;13%;16°C;Gibier, Viande rouge
pierre-gaillard-cote-rotie-2018;1.5 kg;Rhône;Pierre Gaillard;Côte Rôtie;Rouge;10% Viognier, 90% Syrah;2020;6-8 ans;75cl;12,50%;16°C;Gibier, Viande rouge
pierre-gaillard-cote-rotie-rose-pourpre-2017;1.5 kg;Rhône;Pierre Gaillard;Côte Rôtie;Rouge;100% Syrah;2019;10-20 ans;75cl;13%;17°C;Gibier, Viande rouge
pierre-gaillard-gendrines-2018;1.5 kg;Rhône;Pierre Gaillard;Côtes-du-Rhône;Blanc;100% Viognier;2020;3-5 ans;75cl;12,50%;12°C;Apéritif, Crustacés, Cuisine Asiatique, Fromages, Volaille
pierre-gaillard-saint-joseph-cuminaille-2018;1.5 kg;Rhône;Pierre Gaillard;Saint Joseph;Rouge;100% Syrah;2018;6-8 ans;75cl;13%;16°C;Viande Blanche, Viande rouge, Volaille
pierre-gaillard-saint-joseph-2018;1.5 kg;Rhône;Pierre Gaillard;Saint Joseph;Rouge;100% Syrah;2020;3-5 ans;75cl;12,50%;15°C;Charcuterie, Viande Blanche, Viande rouge, Volaille
pierre-gaillard-saint-joseph-blanc-2019;1.5 kg;Rhône;Pierre Gaillard;Saint Joseph;Blanc;100% Roussanne;2020;3-5 ans;75cl;12,50%;12°C;Apéritif, Fromages, Poissons, Viande Blanche, Volaille
pierre-gaillard-syrah-terre-mandrin-2018;1.5 kg;Rhône;Pierre Gaillard;Collines Rhodaniennes;Rouge;100% Syrah;2020;3-5 ans;75cl;12,50%;15°C;Charcuterie, Viande Blanche, Viande rouge, Volaille
mont-olivet-chateauneuf-pape-blanc-2019;1.5 kg;Rhône;Clos Du Mont-Olivet;Châteauneuf-du-Pape;Blanc;Bourboulenc, Clairette, Grenache Blanc, Roussanne;2021;5-10 ans;75cl;14%;12°C;Homard, Poisson en sauce, Poisson grillé, Volaille
clos-du-mont-olivet-chateauneuf-du-pape-2012;1.5 kg;Rhône;Clos Du Mont-Olivet;Châteauneuf-du-Pape;Rouge;Cinsault, Grenache, Mourvèdre, Syrah;2007;15 ans et +;75cl;15%;16°C;Gibier, Viande rouge
clos-du-mont-olivet-chateauneuf-du-pape-papet-2018;1.5 kg;Rhône;Clos Du Mont-Olivet;Châteauneuf-du-Pape;Rouge;Grenache, Mourvèdre, Syrah;2018;15 ans et +;75cl;15%;16°C;Gibier, Viande rouge
clos-du-mont-olivet-cotes-du-rhone-vieilles-vignes-2018;1.5 kg;Rhône;Clos Du Mont-Olivet;Côtes-du-Rhône;Rouge;Carignan, Grenache, Syrah;2019;4-7 ans;75cl;14,5%;15°C;Charcuterie, Viande rouge
mourgues-galets-dores-2019;1.5 kg;Rhône;Mourgues du Grès;Costières de Nîmes;Blanc;Grenache Blanc, Roussanne, Vermentino;2021;3 ans;75cl;14%;11°C;Apéritif, Fromage de chèvre, Poisson grillé, Salade, Viande Blanche
mourgues-du-gres-costieres-de-nimes-galets-rouges-2019;1.5 kg;Rhône;Mourgues du Grès;Costières de Nîmes;Rouge;Carignan, Grenache, Mourvèdre, Syrah;2020;3-5 ans;75cl;14%;15°C;Charcuterie, Grillades, Viande rouge, Volaille
mourgues-du-gres-costieres-de-nimes-galets-roses-2019;1.5 kg;Rhône;Mourgues du Grès;Costières de Nîmes;Rosé;Grenache, Mourvèdre, Syrah;2021;A boire;75cl;13,5%;11°C;Apéritif, Poissons, Salade, Volaille
mourgues-du-gres-costieres-de-nimes-argence-rouge-2017;1.5 kg;Rhône;Mourgues du Grès;Costières de Nîmes;Rouge;Grenache, Mourvèdre, Syrah;2019;5-7 ans;75cl;14,5%;15°C;Charcuterie, Grillades, Viande rouge
mourgues-du-gres-costieres-de-nimes-terre-dargence-blanc-2018;1.5 kg;Rhône;Mourgues du Grès;Pont du Gard;Blanc;Petit Manseng, Roussanne, Viognier;2020;3-5 ans;75cl;14,5%;11°C;Cuisine Exotique, Poisson grillé, Salade, Viande Blanche
mourgues-du-gres-terres-feu-2017;1.5 kg;Rhône;Mourgues du Grès;Costières de Nîmes;Rouge;Carignan, Mourvèdre;2019;5-7 ans;75cl;14,5%;15°C;Canard, Gibier, Viande rouge
oratoire-saint-martin-cairanne-douyes-2016;1.5 kg;Rhône;Oratoire Saint Martin;Cairanne;Rouge;Grenache, Mourvèdre;2017;6-8 ans;75cl;13,5%;15°C;Gibier, Grillades, Viande rouge
gilles-robin-alberic-2017;1.5 kg;Rhône;Gilles Robin;Crozes-Hermitage;Rouge;100% Syrah;2017;5-10 ans;75cl;13,5%;16°C;Gibier, Lapin, Pigeon, Viande rouge
gilles-robin-crozes-hermitage-papillon-2019;1.5 kg;Rhône;Gilles Robin;Crozes-Hermitage;Rouge;100% Syrah;2021;3-5 ans;75cl;13,5%;15°C;Apéritif, Charcuterie, Viande rouge, Volaille
gilles-robin-crozes-hermitage-marelles-2018;1.5 kg;Rhône;Gilles Robin;Crozes-Hermitage;Blanc;Marsanne, Roussanne;2019;4-7 ans;75cl;13,5%;12°C;Homard, Poisson en sauce, Salade, Volaille
vaudieu-chateauneuf-2015;1.5 kg;Rhône;Famille Bréchet;Châteauneuf-du-Pape;Rouge;Grenache, Mourvèdre, Syrah;2015;5-15 ans;75cl;15%;16°C;Gibier, Lapin, Viande rouge
chateau-de-vaudieu-chateauneuf-du-pape-blanc-2015;1.5 kg;Rhône;Famille Bréchet;Châteauneuf-du-Pape;Blanc;Grenache Blanc, Roussanne;2015;5-10 ans;75cl;14%;12°C;Fromages, Homard, Poisson en sauce, Volaille
chateau-de-vaudieu-chateauneuf-du-pape-lavenue-2015;1.5 kg;Rhône;Château de Vaudieu;Châteauneuf-du-Pape;Rouge;Grenache;2015;15 ans et +;75cl;15%;17°C;Gibier, Viande rouge
jerome-cotes-du-rhone-2018;1.5 kg;Rhône;Famille Bréchet;Côtes-du-Rhône Villages;Rouge;Grenache, Syrah;2019;5-7 ans;75cl;15%;16°C;Charcuterie, Gibier, Viande rouge
plateau-chenes-lirac-2015;1.5 kg;Rhône;Famille Bréchet;Lirac;Rouge;Grenache, Syrah;2015;3-5 ans;75cl;15%;16°C;Charcuterie, Gibier, Viande rouge
plateau-des-chenes-lirac-blanc-2016;1.5 kg;Rhône;Famille Bréchet;Lirac;Blanc;Clairette, Grenache Blanc, Roussanne;2016;3-5 ans;75cl;14%;12°C;Fromages, Poissons, Viande Blanche, Volaille
bosquets-gigondas-2016;1.5 kg;Rhône;Famille Bréchet;Gigondas;Rouge;Cinsault, Grenache, Mourvèdre, Syrah;2019;10-15 ans;75cl;15%;16°C;Gibier, Grillades, Viande rouge
domaine-des-bosquets-gigondas-colline-2015;1.5 kg;Rhône;Famille Bréchet;Gigondas;Rouge;Grenache;2017;15 ans et +;75cl;15%;17°C;Gibier, Viande rouge
vieux-donjon-chateauneuf-2013;1.5 kg;Rhône;Le Vieux Donjon;Châteauneuf-du-Pape;Rouge;Cinsault, Grenache, Mourvèdre, Syrah;2013;15 ans et +;75cl;14,5%;17°C;Agneau, Gibier, Viande rouge
le-vieux-donjon-chateauneuf-du-pape-blanc-2016;1.5 kg;Rhône;Le Vieux Donjon;Châteauneuf-du-Pape;Blanc;Clairette, Roussanne;2016;5-10 ans;75cl;14%;12°C;Crustacés, Cuisine Exotique, Fromages, Homard, Poissons
rimauresq-provence-r-blanc-2019;1.5 kg;Provence;Rimauresq;Côtes de Provence Cru Classé;Blanc;Rolle;2021;3-5 ans;75cl;13%;12°C;Crustacés, Fromages, Homard, Poissons
rimauresq-cotes-de-provence-cru-classe-r-2017;1.5 kg;Provence;Rimauresq;Côtes de Provence Cru Classé;Rouge;Cabernet Sauvignon, Grenache, Mourvèdre, Syrah;2019;5-10 ans;75cl;14%;17°C;Gibier, Viande rouge
rimauresq-cotes-de-provence-cru-classe-2017;1.5 kg;Provence;Rimauresq;Côtes de Provence Cru Classé;Rouge;Carignan, Mourvèdre, Syrah;2018;4-7 ans;75cl;13,5%;15°C;Charcuterie, Viande rouge
rimauresq-cotes-de-provence-cru-classe-blanc-2019;1.5 kg;Provence;Rimauresq;Côtes de Provence Cru Classé;Blanc;Rolle;2020;3-5 ans;75cl;13,5%;11°C;Crustacés, Fromage de chèvre, Poisson grillé, Viande Blanche
rimauresq-cotes-de-provence-cru-classe-rose-2019;1.5 kg;Provence;Rimauresq;Côtes de Provence Cru Classé;Rosé;Carignan, Cinsault, Grenache, Mourvèdre, Rolle, Syrah;2021;3 ans;75cl;13,5%;10°C;Apéritif, Grillades, Poisson grillé, Salade
ginglinger-gewurzt-wahlenbourg-2017;1.5 kg;Alsace;Paul Ginglinger;Alsace Gewurztraminer;Blanc;Gewurztraminer;2019;6-8 ans;75cl;13%;11°C;Canard laqué, Fromages persillés, Munster, Plats exotiques
paul-ginglinger-muscat-caroline-2018;1.5 kg;Alsace;Paul Ginglinger;Alsace Muscat;Blanc;Muscat;2020;3-5 ans;75cl;12,50%;11°C;Apéritif, Asperges, Fromage de chèvre, Poisson grillé, Salade
paul-ginglinger-pinot-gris-gc-eichberg-2015;1.5 kg;Alsace;Paul Ginglinger;Alsace Grand Cru;Blanc;Pinot Gris;2017;5-15 ans;75cl;13%;12°C;Faisan, Foie gras mi-cuit, Poularde de Bresse, Viande Blanche
paul-ginglinger-pinot-gris-prelats-2018;1.5 kg;Alsace;Paul Ginglinger;Alsace Pinot Gris;Blanc;Pinot Gris;2020;6-8 ans;75cl;13%;11°C;Bouchées à la Reine, Quenelles, Risotto, Volaille
paul-ginglinger-pinot-noir-les-rocailles-2016;1.5 kg;Alsace;Paul Ginglinger;Alsace Pinot Noir;Rouge;Pinot Noir;2017;5-15 ans;75cl;13%;15°C;Agneau, Boeuf bourguignon, Gibier, Grillades, Viande rouge
paul-ginglinger-riesling-drei-exa-2018;1.5 kg;Alsace;Paul Ginglinger;Alsace Riesling;Blanc;Riesling;2020;4-7 ans;75cl;12,50%;11°C;Choucroute, Coq au Riesling, Crustacés, Huîtres, Poissons, Viande Blanche
boeckel-gewurzt-gc-zotzenberg-2016;1.5 kg;Alsace;Emile Boeckel;Alsace Grand Cru;Blanc;Gewurztraminer;2019;8-10 ans;75cl;13,5%;11°C;Cuisine Exotique, Desserts, Munster
emile-boeckel-pinot-gris-gc-zotzenberg-2016;1.5 kg;Alsace;Emile Boeckel;Alsace Grand Cru;Blanc;Pinot Gris;2017;8-10 ans;75cl;13,5%;11°C;Foie gras, Viande Blanche, Volaille
emile-boeckel-sylvaner-grand-cru-zotzenberg-2017;1.5 kg;Alsace;Emile Boeckel;Alsace Grand Cru;Blanc;Sylvaner;2019;8-10 ans;75cl;14%;11°C;Fromages doux, Fruits de mer, Poissons, Volaille
emile-boeckel-riesling-gc-wiebelsberg-2016;1.5 kg;Alsace;Emile Boeckel;Alsace Grand Cru;Blanc;Riesling;2017;8-10 ans;75cl;12,50%;11°C;Choucroute, Crustacés, Poissons
emile-boeckel-riesling-brandluft-2018;1.5 kg;Alsace;Emile Boeckel;Alsace Riesling;Blanc;Riesling;2020;5-10 ans;75cl;12,50%;11°C;Choucroute, Crustacés, Poissons
emile-boeckel-sylvaner-vieilles-vignes-2019;1.5 kg;Alsace;Emile Boeckel;Alsace Sylvaner;Blanc;Sylvaner;2020;3-5 ans;75cl;12,50%;11°C;Charcuterie, Crustacés, Poissons
emile-boeckel-pinot-noir-barriques-2018;1.5 kg;Alsace;Emile Boeckel;Alsace Pinot Noir;Rouge;Pinot Noir;2020;5-10 ans;75cl;13%;15°C;Gibier, Viande rouge
emile-boeckel-pinot-noir-terres-rouges-2016;1.5 kg;Alsace;Emile Boeckel;Alsace Pinot Noir;Rouge;Pinot Noir;2017;5-10 ans;75cl;12,50%;15°C;Gibier, Viande rouge
zind-humbrecht-gewurzt-grand-cru-rangen-de-thann-clos-saint-urbain-2013;1.5 kg;Alsace;Zind-Humbrecht;Alsace Grand Cru;Blanc;Gewurztraminer;2013;15 ans et +;75cl;13,5%;12°C;Cuisine Exotique, Desserts, Foie gras, Fromages
gosset-champagne-grande-reserve;1.5 kg;Champagne;Gosset;Champagne;Blanc;10% Pinot Meunier, 45% Chardonnay, 45% Pinot Noir;;4 ans;75cl;12%;10°C;Apéritif, Fruits cuits, Sucré-salé, Tajine
champagne-gosset-grand-millesime-2006;1.5 kg;Champagne;Gosset;Champagne;Blanc;44% Chardonnay, 56% Pinot Noir;2015;8-10 ans;75cl;12%;10°C;Agneau, Apéritif, Fromage de chèvre, Noix de St Jacques, Poissons
champagne-gosset-grand-rose;1.5 kg;Champagne;Gosset;Champagne;;50% Chardonnay, 50% Pinot Noir;;4 ans;75cl;12%;10°C;Apéritif, Desserts, Foie gras, Poissons
champagne-mailly-gc-brut-reserve;1.5 kg;Champagne;Mailly Grand Cru;Champagne;Blanc;25% Chardonnay, 75% Pinot Noir;;4 ans;75cl;12%;10°C;Apéritif, Chaource, Légumes croquants, Suprême de volaille, Tarte aux pommes
champagne-mailly-grand-cru-extra-brut-2012;1.5 kg;Champagne;Mailly Grand Cru;Champagne;Blanc;25% Chardonnay, 75% Pinot Noir;;4 ans;75cl;12%;10°C;Apéritif, Carpaccios, Caviar, Huîtres
